
================================  œÓÚÓÍÓÎ ‡·ÓÚ˚  ================================
===========================  ƒ‡Ú‡: 06.12.2023 19:49:26  ===========================


================  œ‡‡ÏÂÚ˚  ================
-in: example.txt
-out: example.txt.asm
-log: example.txt.log
=============  »ÒıÓ‰Ì˚Â ‰‡ÌÌ˚Â  =============
 ÓÎË˜ÂÒÚ‚Ó ÒËÏ‚ÓÎÓ‚: 655
œÓË„ÌÓËÓ‚‡ÌÓ:   0
 ÓÎË˜ÂÒÚ‚Ó ÒÚÓÍ:  42

===============================  “¿¡À»÷¿ À≈ —≈Ã  ==================================

|  N | À≈ —≈Ã¿ | —“–Œ ¿ | »Õƒ≈ — ¬ “» |
439 :                     nti;i=i(i)+l;ol;oi;^;nti;     Ke;}S$              
440 : K->nti;K            nti;i=i(i)+l;ol;oi;^;nti;     Ke;}S$              
441 : SAVESTATE:          23
441 :                     nti;i=i(i)+l;ol;oi;^;nti;     nti;Ke;}S$          
442 :                     ti;i=i(i)+l;ol;oi;^;nti;i     ti;Ke;}S$           
443 :                     i;i=i(i)+l;ol;oi;^;nti;i=     i;Ke;}S$            
444 :                     ;i=i(i)+l;ol;oi;^;nti;i=i     ;Ke;}S$             
445 :                     i=i(i)+l;ol;oi;^;nti;i=i(     Ke;}S$              
446 : K->i=W;K            i=i(i)+l;ol;oi;^;nti;i=i(     Ke;}S$              
447 : SAVESTATE:          24
447 :                     i=i(i)+l;ol;oi;^;nti;i=i(     i=W;Ke;}S$          
448 :                     =i(i)+l;ol;oi;^;nti;i=i(i     =W;Ke;}S$           
449 :                     i(i)+l;ol;oi;^;nti;i=i(i)     W;Ke;}S$            
450 : W->i                i(i)+l;ol;oi;^;nti;i=i(i)     W;Ke;}S$            
451 : SAVESTATE:          25
451 :                     i(i)+l;ol;oi;^;nti;i=i(i)     i;Ke;}S$            
452 :                     (i)+l;ol;oi;^;nti;i=i(i);     ;Ke;}S$             
453 : TS_NOK/NS_NORULECH¿IN
453 : RESSTATE            
453 :                     i(i)+l;ol;oi;^;nti;i=i(i)     W;Ke;}S$            
454 : W->iF               i(i)+l;ol;oi;^;nti;i=i(i)     W;Ke;}S$            
455 : SAVESTATE:          25
455 :                     i(i)+l;ol;oi;^;nti;i=i(i)     iF;Ke;}S$           
456 :                     (i)+l;ol;oi;^;nti;i=i(i);     F;Ke;}S$            
457 : F->(N)              (i)+l;ol;oi;^;nti;i=i(i);     F;Ke;}S$            
458 : SAVESTATE:          26
458 :                     (i)+l;ol;oi;^;nti;i=i(i);     (N);Ke;}S$          
459 :                     i)+l;ol;oi;^;nti;i=i(i);o     N);Ke;}S$           
460 : N->i                i)+l;ol;oi;^;nti;i=i(i);o     N);Ke;}S$           
461 : SAVESTATE:          27
461 :                     i)+l;ol;oi;^;nti;i=i(i);o     i);Ke;}S$           
462 :                     )+l;ol;oi;^;nti;i=i(i);ol     );Ke;}S$            
463 :                     +l;ol;oi;^;nti;i=i(i);ol;     ;Ke;}S$             
464 : TS_NOK/NS_NORULECH¿IN
464 : RESSTATE            
464 :                     i)+l;ol;oi;^;nti;i=i(i);o     N);Ke;}S$           
465 : N->i,N              i)+l;ol;oi;^;nti;i=i(i);o     N);Ke;}S$           
466 : SAVESTATE:          27
466 :                     i)+l;ol;oi;^;nti;i=i(i);o     i,N);Ke;}S$         
467 :                     )+l;ol;oi;^;nti;i=i(i);ol     ,N);Ke;}S$          
468 : TS_NOK/NS_NORULECH¿IN
468 : RESSTATE            
468 :                     i)+l;ol;oi;^;nti;i=i(i);o     N);Ke;}S$           
469 : TNS_NORULECHAIN/NS_NORULE
469 : RESSTATE            
469 :                     (i)+l;ol;oi;^;nti;i=i(i);     F;Ke;}S$            
470 : F->()               (i)+l;ol;oi;^;nti;i=i(i);     F;Ke;}S$            
471 : SAVESTATE:          26
471 :                     (i)+l;ol;oi;^;nti;i=i(i);     ();Ke;}S$           
472 :                     i)+l;ol;oi;^;nti;i=i(i);o     );Ke;}S$            
473 : TS_NOK/NS_NORULECH¿IN
473 : RESSTATE            
473 :                     (i)+l;ol;oi;^;nti;i=i(i);     F;Ke;}S$            
474 : TNS_NORULECHAIN/NS_NORULE
474 : RESSTATE            
474 :                     i(i)+l;ol;oi;^;nti;i=i(i)     W;Ke;}S$            
475 : W->iAW              i(i)+l;ol;oi;^;nti;i=i(i)     W;Ke;}S$            
476 : SAVESTATE:          25
476 :                     i(i)+l;ol;oi;^;nti;i=i(i)     iAW;Ke;}S$          
477 :                     (i)+l;ol;oi;^;nti;i=i(i);     AW;Ke;}S$           
478 : TNS_NORULECHAIN/NS_NORULE
478 : RESSTATE            
478 :                     i(i)+l;ol;oi;^;nti;i=i(i)     W;Ke;}S$            
479 : W->iFAW             i(i)+l;ol;oi;^;nti;i=i(i)     W;Ke;}S$            
480 : SAVESTATE:          25
480 :                     i(i)+l;ol;oi;^;nti;i=i(i)     iFAW;Ke;}S$         
481 :                     (i)+l;ol;oi;^;nti;i=i(i);     FAW;Ke;}S$          
482 : F->(N)              (i)+l;ol;oi;^;nti;i=i(i);     FAW;Ke;}S$          
483 : SAVESTATE:          26
483 :                     (i)+l;ol;oi;^;nti;i=i(i);     (N)AW;Ke;}S$        
484 :                     i)+l;ol;oi;^;nti;i=i(i);o     N)AW;Ke;}S$         
485 : N->i                i)+l;ol;oi;^;nti;i=i(i);o     N)AW;Ke;}S$         
486 : SAVESTATE:          27
486 :                     i)+l;ol;oi;^;nti;i=i(i);o     i)AW;Ke;}S$         
487 :                     )+l;ol;oi;^;nti;i=i(i);ol     )AW;Ke;}S$          
488 :                     +l;ol;oi;^;nti;i=i(i);ol;     AW;Ke;}S$           
489 : A->+                +l;ol;oi;^;nti;i=i(i);ol;     AW;Ke;}S$           
490 : SAVESTATE:          28
490 :                     +l;ol;oi;^;nti;i=i(i);ol;     +W;Ke;}S$           
491 :                     l;ol;oi;^;nti;i=i(i);ol;o     W;Ke;}S$            
492 : W->l                l;ol;oi;^;nti;i=i(i);ol;o     W;Ke;}S$            
493 : SAVESTATE:          29
493 :                     l;ol;oi;^;nti;i=i(i);ol;o     l;Ke;}S$            
494 :                     ;ol;oi;^;nti;i=i(i);ol;oi     ;Ke;}S$             
495 :                     ol;oi;^;nti;i=i(i);ol;oi;     Ke;}S$              
496 : K->oV;K             ol;oi;^;nti;i=i(i);ol;oi;     Ke;}S$              
497 : SAVESTATE:          30
497 :                     ol;oi;^;nti;i=i(i);ol;oi;     oV;Ke;}S$           
498 :                     l;oi;^;nti;i=i(i);ol;oi;^     V;Ke;}S$            
499 : V->l                l;oi;^;nti;i=i(i);ol;oi;^     V;Ke;}S$            
500 : SAVESTATE:          31
500 :                     l;oi;^;nti;i=i(i);ol;oi;^     l;Ke;}S$            
501 :                     ;oi;^;nti;i=i(i);ol;oi;^;     ;Ke;}S$             
502 :                     oi;^;nti;i=i(i);ol;oi;^;e     Ke;}S$              
503 : K->oV;K             oi;^;nti;i=i(i);ol;oi;^;e     Ke;}S$              
504 : SAVESTATE:          32
504 :                     oi;^;nti;i=i(i);ol;oi;^;e     oV;Ke;}S$           
505 :                     i;^;nti;i=i(i);ol;oi;^;e;     V;Ke;}S$            
506 : V->i                i;^;nti;i=i(i);ol;oi;^;e;     V;Ke;}S$            
507 : SAVESTATE:          33
507 :                     i;^;nti;i=i(i);ol;oi;^;e;     i;Ke;}S$            
508 :                     ;^;nti;i=i(i);ol;oi;^;e;}     ;Ke;}S$             
509 :                     ^;nti;i=i(i);ol;oi;^;e;}m     Ke;}S$              
510 : K->^;K              ^;nti;i=i(i);ol;oi;^;e;}m     Ke;}S$              
511 : SAVESTATE:          34
511 :                     ^;nti;i=i(i);ol;oi;^;e;}m     ^;Ke;}S$            
512 :                     ;nti;i=i(i);ol;oi;^;e;}m{     ;Ke;}S$             
513 :                     nti;i=i(i);ol;oi;^;e;}m{n     Ke;}S$              
514 : K->nti=V;K          nti;i=i(i);ol;oi;^;e;}m{n     Ke;}S$              
515 : SAVESTATE:          35
515 :                     nti;i=i(i);ol;oi;^;e;}m{n     nti=V;Ke;}S$        
516 :                     ti;i=i(i);ol;oi;^;e;}m{nt     ti=V;Ke;}S$         
517 :                     i;i=i(i);ol;oi;^;e;}m{nti     i=V;Ke;}S$          
518 :                     ;i=i(i);ol;oi;^;e;}m{nti=     =V;Ke;}S$           
519 : TS_NOK/NS_NORULECH¿IN
519 : RESSTATE            
519 :                     nti;i=i(i);ol;oi;^;e;}m{n     Ke;}S$              
520 : K->nti;K            nti;i=i(i);ol;oi;^;e;}m{n     Ke;}S$              
521 : SAVESTATE:          35
521 :                     nti;i=i(i);ol;oi;^;e;}m{n     nti;Ke;}S$          
522 :                     ti;i=i(i);ol;oi;^;e;}m{nt     ti;Ke;}S$           
523 :                     i;i=i(i);ol;oi;^;e;}m{nti     i;Ke;}S$            
524 :                     ;i=i(i);ol;oi;^;e;}m{nti=     ;Ke;}S$             
525 :                     i=i(i);ol;oi;^;e;}m{nti=l     Ke;}S$              
526 : K->i=W;K            i=i(i);ol;oi;^;e;}m{nti=l     Ke;}S$              
527 : SAVESTATE:          36
527 :                     i=i(i);ol;oi;^;e;}m{nti=l     i=W;Ke;}S$          
528 :                     =i(i);ol;oi;^;e;}m{nti=l;     =W;Ke;}S$           
529 :                     i(i);ol;oi;^;e;}m{nti=l;^     W;Ke;}S$            
530 : W->i                i(i);ol;oi;^;e;}m{nti=l;^     W;Ke;}S$            
531 : SAVESTATE:          37
531 :                     i(i);ol;oi;^;e;}m{nti=l;^     i;Ke;}S$            
532 :                     (i);ol;oi;^;e;}m{nti=l;^;     ;Ke;}S$             
533 : TS_NOK/NS_NORULECH¿IN
533 : RESSTATE            
533 :                     i(i);ol;oi;^;e;}m{nti=l;^     W;Ke;}S$            
534 : W->iF               i(i);ol;oi;^;e;}m{nti=l;^     W;Ke;}S$            
535 : SAVESTATE:          37
535 :                     i(i);ol;oi;^;e;}m{nti=l;^     iF;Ke;}S$           
536 :                     (i);ol;oi;^;e;}m{nti=l;^;     F;Ke;}S$            
537 : F->(N)              (i);ol;oi;^;e;}m{nti=l;^;     F;Ke;}S$            
538 : SAVESTATE:          38
538 :                     (i);ol;oi;^;e;}m{nti=l;^;     (N);Ke;}S$          
539 :                     i);ol;oi;^;e;}m{nti=l;^;o     N);Ke;}S$           
540 : N->i                i);ol;oi;^;e;}m{nti=l;^;o     N);Ke;}S$           
541 : SAVESTATE:          39
541 :                     i);ol;oi;^;e;}m{nti=l;^;o     i);Ke;}S$           
542 :                     );ol;oi;^;e;}m{nti=l;^;oi     );Ke;}S$            
543 :                     ;ol;oi;^;e;}m{nti=l;^;oi;     ;Ke;}S$             
544 :                     ol;oi;^;e;}m{nti=l;^;oi;^     Ke;}S$              
545 : K->oV;K             ol;oi;^;e;}m{nti=l;^;oi;^     Ke;}S$              
546 : SAVESTATE:          40
546 :                     ol;oi;^;e;}m{nti=l;^;oi;^     oV;Ke;}S$           
547 :                     l;oi;^;e;}m{nti=l;^;oi;^;     V;Ke;}S$            
548 : V->l                l;oi;^;e;}m{nti=l;^;oi;^;     V;Ke;}S$            
549 : SAVESTATE:          41
549 :                     l;oi;^;e;}m{nti=l;^;oi;^;     l;Ke;}S$            
550 :                     ;oi;^;e;}m{nti=l;^;oi;^;o     ;Ke;}S$             
551 :                     oi;^;e;}m{nti=l;^;oi;^;oi     Ke;}S$              
552 : K->oV;K             oi;^;e;}m{nti=l;^;oi;^;oi     Ke;}S$              
553 : SAVESTATE:          42
553 :                     oi;^;e;}m{nti=l;^;oi;^;oi     oV;Ke;}S$           
554 :                     i;^;e;}m{nti=l;^;oi;^;oi;     V;Ke;}S$            
555 : V->i                i;^;e;}m{nti=l;^;oi;^;oi;     V;Ke;}S$            
556 : SAVESTATE:          43
556 :                     i;^;e;}m{nti=l;^;oi;^;oi;     i;Ke;}S$            
557 :                     ;^;e;}m{nti=l;^;oi;^;oi;^     ;Ke;}S$             
558 :                     ^;e;}m{nti=l;^;oi;^;oi;^;     Ke;}S$              
559 : K->^;K              ^;e;}m{nti=l;^;oi;^;oi;^;     Ke;}S$              
560 : SAVESTATE:          44
560 :                     ^;e;}m{nti=l;^;oi;^;oi;^;     ^;Ke;}S$            
561 :                     ;e;}m{nti=l;^;oi;^;oi;^;n     ;Ke;}S$             
562 :                     e;}m{nti=l;^;oi;^;oi;^;nt     Ke;}S$              
563 : TNS_NORULECHAIN/NS_NORULE
563 : RESSTATE            
563 :                     ^;e;}m{nti=l;^;oi;^;oi;^;     Ke;}S$              
564 : K->^;               ^;e;}m{nti=l;^;oi;^;oi;^;     Ke;}S$              
565 : SAVESTATE:          44
565 :                     ^;e;}m{nti=l;^;oi;^;oi;^;     ^;e;}S$             
566 :                     ;e;}m{nti=l;^;oi;^;oi;^;n     ;e;}S$              
567 :                     e;}m{nti=l;^;oi;^;oi;^;nt     e;}S$               
568 :                     ;}m{nti=l;^;oi;^;oi;^;nti     ;}S$                
569 :                     }m{nti=l;^;oi;^;oi;^;nti=     }S$                 
570 :                     m{nti=l;^;oi;^;oi;^;nti=l     S$                  
571 : S->m{K}             m{nti=l;^;oi;^;oi;^;nti=l     S$                  
572 : SAVESTATE:          45
572 :                     m{nti=l;^;oi;^;oi;^;nti=l     m{K}$               
573 :                     {nti=l;^;oi;^;oi;^;nti=l;     {K}$                
574 :                     nti=l;^;oi;^;oi;^;nti=l;n     K}$                 
575 : K->nti=V;K          nti=l;^;oi;^;oi;^;nti=l;n     K}$                 
576 : SAVESTATE:          46
576 :                     nti=l;^;oi;^;oi;^;nti=l;n     nti=V;K}$           
577 :                     ti=l;^;oi;^;oi;^;nti=l;nt     ti=V;K}$            
578 :                     i=l;^;oi;^;oi;^;nti=l;nti     i=V;K}$             
579 :                     =l;^;oi;^;oi;^;nti=l;nti=     =V;K}$              
580 :                     l;^;oi;^;oi;^;nti=l;nti=l     V;K}$               
581 : V->l                l;^;oi;^;oi;^;nti=l;nti=l     V;K}$               
582 : SAVESTATE:          47
582 :                     l;^;oi;^;oi;^;nti=l;nti=l     l;K}$               
583 :                     ;^;oi;^;oi;^;nti=l;nti=l;     ;K}$                
584 :                     ^;oi;^;oi;^;nti=l;nti=l;i     K}$                 
585 : K->^;K              ^;oi;^;oi;^;nti=l;nti=l;i     K}$                 
586 : SAVESTATE:          48
586 :                     ^;oi;^;oi;^;nti=l;nti=l;i     ^;K}$               
587 :                     ;oi;^;oi;^;nti=l;nti=l;i(     ;K}$                
588 :                     oi;^;oi;^;nti=l;nti=l;i(i     K}$                 
589 : K->oV;K             oi;^;oi;^;nti=l;nti=l;i(i     K}$                 
590 : SAVESTATE:          49
590 :                     oi;^;oi;^;nti=l;nti=l;i(i     oV;K}$              
591 :                     i;^;oi;^;nti=l;nti=l;i(i,     V;K}$               
592 : V->i                i;^;oi;^;nti=l;nti=l;i(i,     V;K}$               
593 : SAVESTATE:          50
593 :                     i;^;oi;^;nti=l;nti=l;i(i,     i;K}$               
594 :                     ;^;oi;^;nti=l;nti=l;i(i,i     ;K}$                
595 :                     ^;oi;^;nti=l;nti=l;i(i,i)     K}$                 
596 : K->^;K              ^;oi;^;nti=l;nti=l;i(i,i)     K}$                 
597 : SAVESTATE:          51
597 :                     ^;oi;^;nti=l;nti=l;i(i,i)     ^;K}$               
598 :                     ;oi;^;nti=l;nti=l;i(i,i);     ;K}$                
599 :                     oi;^;nti=l;nti=l;i(i,i);^     K}$                 
600 : K->oV;K             oi;^;nti=l;nti=l;i(i,i);^     K}$                 
601 : SAVESTATE:          52
601 :                     oi;^;nti=l;nti=l;i(i,i);^     oV;K}$              
602 :                     i;^;nti=l;nti=l;i(i,i);^;     V;K}$               
603 : V->i                i;^;nti=l;nti=l;i(i,i);^;     V;K}$               
604 : SAVESTATE:          53
604 :                     i;^;nti=l;nti=l;i(i,i);^;     i;K}$               
605 :                     ;^;nti=l;nti=l;i(i,i);^;o     ;K}$                
606 :                     ^;nti=l;nti=l;i(i,i);^;oi     K}$                 
607 : K->^;K              ^;nti=l;nti=l;i(i,i);^;oi     K}$                 
608 : SAVESTATE:          54
608 :                     ^;nti=l;nti=l;i(i,i);^;oi     ^;K}$               
609 :                     ;nti=l;nti=l;i(i,i);^;oi;     ;K}$                
610 :                     nti=l;nti=l;i(i,i);^;oi;o     K}$                 
611 : K->nti=V;K          nti=l;nti=l;i(i,i);^;oi;o     K}$                 
612 : SAVESTATE:          55
612 :                     nti=l;nti=l;i(i,i);^;oi;o     nti=V;K}$           
613 :                     ti=l;nti=l;i(i,i);^;oi;oi     ti=V;K}$            
614 :                     i=l;nti=l;i(i,i);^;oi;oi;     i=V;K}$             
615 :                     =l;nti=l;i(i,i);^;oi;oi;^     =V;K}$              
616 :                     l;nti=l;i(i,i);^;oi;oi;^;     V;K}$               
617 : V->l                l;nti=l;i(i,i);^;oi;oi;^;     V;K}$               
618 : SAVESTATE:          56
618 :                     l;nti=l;i(i,i);^;oi;oi;^;     l;K}$               
619 :                     ;nti=l;i(i,i);^;oi;oi;^;      ;K}$                
620 :                     nti=l;i(i,i);^;oi;oi;^;       K}$                 
621 : K->nti=V;K          nti=l;i(i,i);^;oi;oi;^;       K}$                 
622 : SAVESTATE:          57
622 :                     nti=l;i(i,i);^;oi;oi;^;       nti=V;K}$           
623 :                     ti=l;i(i,i);^;oi;oi;^;        ti=V;K}$            
624 :                     i=l;i(i,i);^;oi;oi;^;         i=V;K}$             
625 :                     =l;i(i,i);^;oi;oi;^;          =V;K}$              
626 :                     l;i(i,i);^;oi;oi;^;           V;K}$               
627 : V->l                l;i(i,i);^;oi;oi;^;           V;K}$               
628 : SAVESTATE:          58
628 :                     l;i(i,i);^;oi;oi;^;           l;K}$               
629 :                     ;i(i,i);^;oi;oi;^;            ;K}$                
630 :                     i(i,i);^;oi;oi;^;             K}$                 
631 : K->i=W;K            i(i,i);^;oi;oi;^;             K}$                 
632 : SAVESTATE:          59
632 :                     i(i,i);^;oi;oi;^;             i=W;K}$             
633 :                     (i,i);^;oi;oi;^;              =W;K}$              
634 : TS_NOK/NS_NORULECH¿IN
634 : RESSTATE            
634 :                     i(i,i);^;oi;oi;^;             K}$                 
635 : K->iF;K             i(i,i);^;oi;oi;^;             K}$                 
636 : SAVESTATE:          59
636 :                     i(i,i);^;oi;oi;^;             iF;K}$              
637 :                     (i,i);^;oi;oi;^;              F;K}$               
638 : F->(N)              (i,i);^;oi;oi;^;              F;K}$               
639 : SAVESTATE:          60
639 :                     (i,i);^;oi;oi;^;              (N);K}$             
640 :                     i,i);^;oi;oi;^;               N);K}$              
641 : N->i                i,i);^;oi;oi;^;               N);K}$              
642 : SAVESTATE:          61
642 :                     i,i);^;oi;oi;^;               i);K}$              
643 :                     ,i);^;oi;oi;^;                );K}$               
644 : TS_NOK/NS_NORULECH¿IN
644 : RESSTATE            
644 :                     i,i);^;oi;oi;^;               N);K}$              
645 : N->i,N              i,i);^;oi;oi;^;               N);K}$              
646 : SAVESTATE:          61
646 :                     i,i);^;oi;oi;^;               i,N);K}$            
647 :                     ,i);^;oi;oi;^;                ,N);K}$             
648 :                     i);^;oi;oi;^;                 N);K}$              
649 : N->i                i);^;oi;oi;^;                 N);K}$              
650 : SAVESTATE:          62
650 :                     i);^;oi;oi;^;                 i);K}$              
651 :                     );^;oi;oi;^;                  );K}$               
652 :                     ;^;oi;oi;^;                   ;K}$                
653 :                     ^;oi;oi;^;                    K}$                 
654 : K->^;K              ^;oi;oi;^;                    K}$                 
655 : SAVESTATE:          63
655 :                     ^;oi;oi;^;                    ^;K}$               
656 :                     ;oi;oi;^;                     ;K}$                
657 :                     oi;oi;^;                      K}$                 
658 : K->oV;K             oi;oi;^;                      K}$                 
659 : SAVESTATE:          64
659 :                     oi;oi;^;                      oV;K}$              
660 :                     i;oi;^;                       V;K}$               
661 : V->i                i;oi;^;                       V;K}$               
662 : SAVESTATE:          65
662 :                     i;oi;^;                       i;K}$               
663 :                     ;oi;^;                        ;K}$                
664 :                     oi;^;                         K}$                 
665 : K->oV;K             oi;^;                         K}$                 
666 : SAVESTATE:          66
666 :                     oi;^;                         oV;K}$              
667 :                     i;^;                          V;K}$               
668 : V->i                i;^;                          V;K}$               
669 : SAVESTATE:          67
669 :                     i;^;                          i;K}$               
670 :                     ;^;                           ;K}$                
671 :                     ^;                            K}$                 
672 : K->^;K              ^;                            K}$                 
673 : SAVESTATE:          68
673 :                     ^;                            ^;K}$               
674 :                     ;                             ;K}$                
675 :                                                   K}$                 
676 : LENTA_END           
677 : ------>LENTA_END    
===================================================================================
0   : ‚ÒÂ„Ó ÒÚÓÍ 142, ÒËÌÚ‡ÍÒË˜ÂÒÍËÈ ‡Ì‡ÎËÁ ‚˚ÔÓÎÌÂÌ ·ÂÁ Ó¯Ë·ÓÍ 
0   : S->tfiPTS           
3   : P->(E)              
4   : E->ti,E             
7   : E->ti               
10  : T->{KeV;}           
11  : K->nti;K            
15  : K->?Z#R             
16  : Z->iLi              
17  : L-><                
20  : R->wYrY#            
21  : Y->{X}              
22  : X->i=W;             
24  : W->i                
28  : Y->{X}              
29  : X->i=W;             
31  : W->i                
36  : V->i                
39  : S->pfiPGS           
42  : P->(E)              
43  : E->ti,E             
46  : E->ti               
49  : G->{Ke;}            
50  : K->nti;K            
54  : K->i=W;K            
56  : W->iFAW             
57  : F->(N)              
58  : N->i                
60  : A->+                
61  : W->l                
63  : K->oV;K             
64  : V->l                
66  : K->oV;K             
67  : V->i                
69  : K->^;K              
71  : K->nti;K            
75  : K->i=W;K            
77  : W->iF               
78  : F->(N)              
79  : N->i                
82  : K->oV;K             
83  : V->l                
85  : K->oV;K             
86  : V->i                
88  : K->^;               
93  : S->m{K}             
95  : K->nti=V;K          
99  : V->l                
101 : K->^;K              
103 : K->oV;K             
104 : V->i                
106 : K->^;K              
108 : K->oV;K             
109 : V->i                
111 : K->^;K              
113 : K->nti=V;K          
117 : V->l                
119 : K->nti=V;K          
123 : V->l                
125 : K->iF;K             
126 : F->(N)              
127 : N->i,N              
129 : N->i                
132 : K->^;K              
134 : K->oV;K             
135 : V->i                
137 : K->oV;K             
138 : V->i                
140 : K->^;K              

====================   ŒÕ≈◊Õ€≈ “¿¡À»÷€ À≈ —≈Ã » »ƒ≈Õ“»‘» ¿“Œ–Œ¬  ===================
===============================  “¿¡À»÷¿ À≈ —≈Ã  ==================================

|  N | À≈ —≈Ã¿ | —“–Œ ¿ | »Õƒ≈ — ¬ “» |
|0   | t       |  1     |             |
|1   | f       |  1     |             |
|2   | i       |  1     |0            |
|3   | (       |  1     |             |
|4   | t       |  1     |             |
|5   | i       |  1     |1            |
|6   | ,       |  1     |             |
|7   | t       |  1     |             |
|8   | i       |  1     |2            |
|9   | )       |  1     |             |
|10  | {       |  2     |             |
|11  | n       |  3     |             |
|12  | t       |  3     |             |
|13  | i       |  3     |3            |
|14  | ;       |  3     |             |
|15  | ?       |  4     |             |
|16  | i       |  4     |1            |
|17  | <       |  4     |             |
|18  | i       |  4     |2            |
|19  | #       |  4     |             |
|20  | w       |  5     |             |
|21  | {       |  5     |             |
|22  | i       |  5     |3            |
|23  | =       |  5     |             |
|24  | i       |  5     |1            |
|25  | ;       |  5     |             |
|26  | }       |  5     |             |
|27  | r       |  6     |             |
|28  | {       |  6     |             |
|29  | i       |  6     |3            |
|30  | =       |  6     |             |
|31  | i       |  6     |2            |
|32  | ;       |  6     |             |
|33  | }       |  6     |             |
|34  | #       |  6     |             |
|35  | e       |  7     |             |
|36  | i       |  7     |3            |
|37  | ;       |  7     |             |
|38  | }       |  8     |             |
|39  | p       |  10    |             |
|40  | f       |  10    |             |
|41  | i       |  10    |4            |
|42  | (       |  10    |             |
|43  | t       |  10    |             |
|44  | i       |  10    |5            |
|45  | ,       |  10    |             |
|46  | t       |  10    |             |
|47  | i       |  10    |6            |
|48  | )       |  10    |             |
|49  | {       |  11    |             |
|50  | n       |  12    |             |
|51  | t       |  12    |             |
|52  | i       |  12    |7            |
|53  | ;       |  12    |             |
|54  | i       |  13    |7            |
|55  | =       |  13    |             |
|56  | i       |  13    |8            |
|57  | (       |  13    |             |
|58  | i       |  13    |5            |
|59  | )       |  13    |             |
|60  | l       |  13    |9            |
|61  | +       |  13    |             |
|62  | ;       |  13    |             |
|63  | o       |  14    |             |
|64  | l       |  14    |10           |
|65  | ;       |  14    |             |
|66  | o       |  15    |             |
|67  | i       |  15    |7            |
|68  | ;       |  15    |             |
|69  | ^       |  16    |             |
|70  | ;       |  16    |             |
|71  | n       |  18    |             |
|72  | t       |  18    |             |
|73  | i       |  18    |11           |
|74  | ;       |  18    |             |
|75  | i       |  19    |11           |
|76  | =       |  19    |             |
|77  | i       |  19    |12           |
|78  | (       |  19    |             |
|79  | i       |  19    |6            |
|80  | )       |  19    |             |
|81  | ;       |  19    |             |
|82  | o       |  20    |             |
|83  | l       |  20    |13           |
|84  | ;       |  20    |             |
|85  | o       |  21    |             |
|86  | i       |  21    |11           |
|87  | ;       |  21    |             |
|88  | ^       |  22    |             |
|89  | ;       |  22    |             |
|90  | e       |  23    |             |
|91  | ;       |  23    |             |
|92  | }       |  24    |             |
|93  | m       |  27    |             |
|94  | {       |  28    |             |
|95  | n       |  29    |             |
|96  | t       |  29    |             |
|97  | i       |  29    |14           |
|98  | =       |  29    |             |
|99  | l       |  29    |15           |
|100 | ;       |  29    |             |
|101 | ^       |  30    |             |
|102 | ;       |  30    |             |
|103 | o       |  31    |             |
|104 | i       |  31    |14           |
|105 | ;       |  31    |             |
|106 | ^       |  32    |             |
|107 | ;       |  32    |             |
|108 | o       |  33    |             |
|109 | i       |  33    |14           |
|110 | ;       |  33    |             |
|111 | ^       |  34    |             |
|112 | ;       |  34    |             |
|113 | n       |  35    |             |
|114 | t       |  35    |             |
|115 | i       |  35    |16           |
|116 | =       |  35    |             |
|117 | l       |  35    |17           |
|118 | ;       |  35    |             |
|119 | n       |  36    |             |
|120 | t       |  36    |             |
|121 | i       |  36    |18           |
|122 | =       |  36    |             |
|123 | l       |  36    |19           |
|124 | ;       |  36    |             |
|125 | i       |  37    |4            |
|126 | (       |  37    |             |
|127 | i       |  37    |14           |
|128 | ,       |  37    |             |
|129 | i       |  37    |16           |
|130 | )       |  37    |             |
|131 | ;       |  37    |             |
|132 | ^       |  38    |             |
|133 | ;       |  38    |             |
|134 | o       |  39    |             |
|135 | i       |  39    |14           |
|136 | ;       |  39    |             |
|137 | o       |  40    |             |
|138 | i       |  40    |14           |
|139 | ;       |  40    |             |
|140 | ^       |  41    |             |
|141 | ;       |  41    |             |
=============================  “¿¡À»÷¿ »ƒ≈Õ“»‘» ¿“Œ–Œ¬  ============================

|  N  |—“–Œ ¿ ¬ “À| “»œ »ƒ≈Õ“»‘» ¿“Œ–¿ |        »Ãﬂ        | «Õ¿◊≈Õ»≈ (œ¿–¿Ã≈“–€)
|0    |  2        |  number   function |  min              | P0:NUMBER | P1:NUMBER |
|1    |  5        |  number  parameter |  minx             |
|2    |  8        |  number  parameter |  miny             |
|3    |  13       |  number   variable |  minres           |0
|4    |  41       |   proc    function |  strings          | P0:STRING | P1:STRING |
|5    |  44       | string   parameter |  stringsa         |
|6    |  47       | string   parameter |  stringsb         |
|7    |  52       |  number   variable |  stringsk         |0
|8    |  56       |  number   LIB FUNC |  lenght           | P0:STRING |
|9    |  60       |  number    literal |  LTRL1            |5
|10   |  64       | string     literal |  LTRL2            |[25]Lenght + 10001:          
|11   |  73       | string    variable |  stringsstr       |[0]
|12   |  77       | string    LIB FUNC |  strcopy          | P0:STRING |
|13   |  83       | string     literal |  LTRL3            |[26]String copy11111:         
|14   |  97       | string    variable |  mainstrx         |[0]
|15   |  99       | string     literal |  LTRL4            |[8]RSA-2023
|16   |  115      | string    variable |  mainstry         |[0]
